fold,evaluation_year,model,alpha,nominal_coverage,conformal_quantile,conformal_coverage,conformal_average_set_size,conformal_singleton_rate,conformal_empty_rate,conformal_positive_singleton_rate,conformal_positive_singleton_precision
eval_2024,2024,temporal_tabular,0.05,0.95,0.8882562816143036,0.9502789321951403,1.2634505222958554,0.7365494777041447,0.0,0.0,
eval_2024,2024,temporal_tabular,0.1,0.9,0.7026084005832672,0.9061552285746378,1.0513497322999739,0.9486502677000263,0.0,0.00018720281553034557,0.9
eval_2024,2024,range_persistence,0.05,0.95,0.8873605202299655,0.9609120521172638,1.508068441349358,0.4919315586506421,0.0,0.00011232168931820734,0.16666666666666666
eval_2024,2024,range_persistence,0.1,0.9,0.7792668790723647,0.915459208506496,1.131659740162492,0.868340259837508,0.0,0.0014976225242427645,0.475
eval_2024,2024,logit_state,0.05,0.95,0.8836779610886702,0.9606874087386275,1.438297952001198,0.5617020479988019,0.0,7.488112621213822e-05,0.25
eval_2024,2024,logit_state,0.1,0.9,0.7419722613267339,0.9168257890598674,1.1162155078812386,0.8837844921187614,0.0,0.0008424126698865551,0.5111111111111111
eval_2024,2024,lgbm_price_liquidity,0.05,0.95,0.8880087090147385,0.947452169680632,1.3484593208281852,0.6515406791718148,0.0,0.0,
eval_2024,2024,lgbm_price_liquidity,0.1,0.9,0.7393539439010471,0.9059118649144483,1.0757235388820248,0.9242764611179752,0.0,0.0002995245048485529,0.5
eval_2024,2024,lgbm_state,0.05,0.95,0.8875797338709001,0.9490246733310869,1.3204724999063986,0.6795275000936014,0.0,0.0,
eval_2024,2024,lgbm_state,0.1,0.9,0.778017210231214,0.9093751170017597,1.0815081058819125,0.9184918941180875,0.0,0.000168482533977311,0.7777777777777778
eval_2025,2025,temporal_tabular,0.05,0.95,0.8658670082688331,0.9382815651472368,1.185888738127544,0.8141112618724559,0.0,0.0,
eval_2025,2025,temporal_tabular,0.1,0.9,0.6221977412700653,0.9016465583629762,1.0108181451465033,0.9891818548534966,0.0,0.0004950676592467637,0.8518518518518519
eval_2025,2025,range_persistence,0.05,0.95,0.897030037502675,0.9380065275587663,1.2588837141075948,0.7411162858924053,0.0,5.5007517694084856e-05,0.6666666666666666
eval_2025,2025,range_persistence,0.1,0.9,0.8216439193987033,0.9076607136308629,1.0499834977446918,0.9500165022553082,0.0,7.334335692544648e-05,0.5
eval_2025,2025,logit_state,0.05,0.95,0.8812286397640913,0.9494297553999047,1.2852873226007555,0.7147126773992446,0.0,5.5007517694084856e-05,0.6666666666666666
eval_2025,2025,logit_state,0.1,0.9,0.7307829019919599,0.907312332685467,1.0395870769005098,0.9604129230994902,0.0,9.16791961568081e-05,0.6
eval_2025,2025,lgbm_price_liquidity,0.05,0.95,0.902046254610273,0.9553889031500972,1.3557519527668782,0.6442480472331219,0.0,0.0,
eval_2025,2025,lgbm_price_liquidity,0.1,0.9,0.7946494826553867,0.9133631596318164,1.064853863361326,0.935146136638674,0.0,0.0,
eval_2025,2025,lgbm_state,0.05,0.95,0.8904008073294132,0.9508782866991822,1.310315743151564,0.6896842568484359,0.0,0.0,
eval_2025,2025,lgbm_state,0.1,0.9,0.7835293421943584,0.9132898162748909,1.0629469360812644,0.9370530639187356,0.0,0.0,
