scope,evaluation_year,model,pr_auc,roc_auc,brier,log_loss,prevalence,ece_10,calibration_slope,calibration_intercept,top_decile_precision,top_decile_lift,mean_uncertainty_std,mean_mutual_information
year,2024,temporal_tabular,0.3211575363987704,0.7395928648956003,0.09269987552824785,0.319569927418475,0.1172264030851024,0.016168682939372986,1.0286355019690274,0.23760778420442843,0.3824410333208536,3.262413784403283,0.01513195484855115,0.0016822344646285744
year,2024,range_persistence,0.20917926081932026,0.6359796621143101,0.10158573750732118,0.35242446951146533,0.1172264030851024,0.02785138060682419,0.7477511686318623,-0.6680202762598354,0.2646948708348933,2.257979976087245,0.0,0.0
year,2024,logit_state,0.2525140710950484,0.6760512664949562,0.09868410280995824,0.3422616757494704,0.1172264030851024,0.02714523705045107,0.7993079796420591,-0.5507323188022983,0.30550355672032947,2.6060985296848544,2.0842628846719354e-18,3.411512422747305e-18
year,2024,lgbm_price_liquidity,0.22792153992525394,0.6586909736918655,0.09944837360289827,0.34529140989312196,0.1172264030851024,0.018639460042694747,0.7223198250615617,-0.5088686691153816,0.283414451516286,2.4176673859944056,0.005781043382967597,0.00021949923467233683
year,2024,lgbm_state,0.24924547425388296,0.6881916451518352,0.09744184894175914,0.33647279335738733,0.1172264030851024,0.005384927835138746,0.9709372725538239,-0.0213558034531058,0.31242980157244477,2.6651828713505035,0.007120809037631506,0.0003388679951299146
year,2025,temporal_tabular,0.2679911950433048,0.6960697832199146,0.08724571116323324,0.3088104285558324,0.10508269463493344,0.009616184424724184,1.0197058792842277,0.15471723147312993,0.29794646131279795,2.8353523132223653,0.012547938228064897,0.0011705424831414176
year,2025,range_persistence,0.17179780050961752,0.6185558155685746,0.09222210559310291,0.3275853479168756,0.10508269463493344,0.008819313401022827,0.9296601942276391,-0.0631025433758281,0.21727172717271728,2.0676261484113865,0.0,0.0
year,2025,logit_state,0.2108098800989126,0.6750121697097027,0.08988282704950255,0.3170374388211944,0.10508269463493344,0.007692635218236718,0.9507906862187547,-0.13032611900940108,0.25834250091675837,2.458468559587885,1.5753673460372456e-18,3.309772745906389e-18
year,2025,lgbm_price_liquidity,0.21805323259467566,0.6659680968541042,0.08974234644558969,0.31771765910814354,0.10508269463493344,0.006849588457372916,0.9684509390968551,-0.0003301869391407128,0.2480748074807481,2.36075795679376,0.003761397057931514,0.00010514887848245035
year,2025,lgbm_state,0.22764225018194312,0.667338373222142,0.0893064049487404,0.3164760640671885,0.10508269463493344,0.0032739369483760507,1.001855243535528,0.029687048688023583,0.25614228089475616,2.437530573274858,0.00733399877623151,0.0003865637818711823
pooled,pooled,temporal_tabular,0.2951391685709202,0.7193223745360132,0.0899445009669528,0.3141343652545304,0.11109155581903739,0.012703338419863307,1.0269363792344954,0.20220559750849595,0.3423490181548722,3.0816835323878413,0.013826542472693583,0.001423734174822111
pooled,pooled,range_persistence,0.18826467291280807,0.6221956846661503,0.09685534959615706,0.3398760607752604,0.11109155581903739,0.01110763062693991,0.7379001293565697,-0.5906472068260478,0.23990366802519453,2.1595130814081465,0.0,0.0
pooled,pooled,logit_state,0.23169428292235317,0.6744157893639242,0.0942378100849246,0.32951871163821844,0.11109155581903739,0.015237685880744546,0.8377561719455436,-0.4244879780984683,0.28204890700259355,2.5388870011149827,1.8271753222756006e-18,3.360114830250826e-18
pooled,pooled,lgbm_price_liquidity,0.22009130751145325,0.6618653709469147,0.09454501196384812,0.33136150122374597,0.11109155581903739,0.011780573580197563,0.8121616067996273,-0.3322506723972701,0.2660244535012968,2.394641532742933,0.0047607437120385345,0.00016173088714293568
pooled,pooled,lgbm_state,0.23666031925661402,0.6785161504237761,0.09333192596859177,0.3263706997078554,0.11109155581903739,0.0031326494320771344,0.9857713935964426,0.002062192500583336,0.2850129677658392,2.5655682438196394,0.007228509785748952,0.00036296330078495234
