fold,evaluation_year,dimension,regime,model,rows,positives,pr_auc,roc_auc,brier,log_loss,prevalence,ece_10,calibration_slope,calibration_intercept,top_decile_precision,top_decile_lift
eval_2024,2024,market_volatility,high,logit_state,23970,3254,0.2836948166875305,0.6844817547770159,0.1108805435112323,0.37351695810226915,0.13575302461410096,0.023589748442282253,0.7718703270866046,-0.5058273752151441,0.3404255319148936,2.5076828518746157
eval_2024,2024,market_volatility,high,lgbm_price_liquidity,23970,3254,0.2513151096315692,0.664473733399017,0.11245995532686578,0.38075827716512056,0.13575302461410096,0.025675412083588083,0.7271373098219531,-0.3204565278253279,0.3149770546516479,2.3202212661339887
eval_2024,2024,market_volatility,high,lgbm_state,23970,3254,0.27481978085993,0.6993382452158634,0.11050254977890518,0.3699418073711594,0.13575302461410096,0.019125289326188642,0.9231841162422647,-0.0049522269391038855,0.33249895702962035,2.4492931776275353
eval_2024,2024,market_volatility,low,temporal_tabular,29448,3008,0.2698596121190154,0.7145812251545047,0.08439852404082406,0.2992362057562737,0.10214615593588698,0.01399088390208214,1.0049725292523668,0.18171048859884356,0.31884550084889646,3.1214635335765637
eval_2024,2024,market_volatility,low,range_persistence,29448,3008,0.17748489348164204,0.6114951091089419,0.09129380163715345,0.3268965908963399,0.10214615593588698,0.03181408414185616,0.6817225013329844,-0.8679483587665807,0.23497453310696095,2.3003756818263916
eval_2024,2024,market_volatility,low,logit_state,29448,3008,0.21755183808964212,0.6602505522338817,0.08875647840050636,0.31682058915626926,0.10214615593588698,0.0296816465950155,0.803247782996926,-0.6275636738174851,0.2764006791171477,2.7059332442293105
eval_2024,2024,market_volatility,low,lgbm_price_liquidity,29448,3008,0.2102829634109829,0.6533398330624135,0.08885724300239901,0.3164221892835794,0.10214615593588698,0.023320496649334554,0.7234781566695889,-0.6698954710011931,0.25840407470288623,2.529748401546075
eval_2024,2024,market_volatility,low,lgbm_state,29448,3008,0.22558701100264478,0.6702725158528342,0.08681073650402515,0.30922977970925786,0.10214615593588698,0.005784353640032188,1.0010702810714502,-0.06105979949789404,0.27504244482173174,2.6926362749701984
eval_2024,2024,stock_liquidity,high,temporal_tabular,29994,4277,0.3693069457306095,0.7577161090533734,0.10732858363197811,0.35590241126152655,0.14259518570380741,0.019404299558264716,1.0502158983845054,0.2661208787732733,0.43766666666666665,3.0692948328267478
eval_2024,2024,stock_liquidity,high,range_persistence,29994,4277,0.2501286213082316,0.6535420761050963,0.1184079002500056,0.3938900731627185,0.14259518570380741,0.01966845714848997,0.7733842170237581,-0.5040038918560642,0.3153692614770459,2.211640315347794
eval_2024,2024,stock_liquidity,high,logit_state,29994,4277,0.29768745706159955,0.6913196078439039,0.11526262231240429,0.3837030268173171,0.14259518570380741,0.031233283417168627,0.8516170956764254,-0.45693135130785106,0.36133333333333334,2.5339798924479777
eval_2024,2024,stock_liquidity,high,lgbm_price_liquidity,29994,4277,0.26307088751140273,0.6651784319292938,0.11694508776758313,0.39082204078766586,0.14259518570380741,0.023351826632931345,0.7123449011473257,-0.42481365732764215,0.32566666666666666,2.283854570960954
eval_2024,2024,stock_liquidity,high,lgbm_state,29994,4277,0.28498665850059507,0.6996080401005862,0.1143391893066242,0.37948932697002996,0.14259518570380741,0.015160631501059011,0.9610660135684592,0.014862303869826721,0.33866666666666667,2.375021744213234
eval_2024,2024,stock_liquidity,low,temporal_tabular,2085,226,0.2889627274606363,0.6950282528907444,0.08861691693727479,0.31528492211475523,0.10839328537170263,0.030236289495562046,0.9479996919860787,0.19988143888945137,0.3684210526315789,3.3989287377736375
eval_2024,2024,stock_liquidity,low,range_persistence,2085,226,0.1672093508662261,0.5907650892334351,0.09534384672715387,0.33793064632146563,0.10839328537170263,0.020480078186591505,0.6872645738314687,-0.6106525337951402,0.23444976076555024,2.1629546513104967
eval_2024,2024,stock_liquidity,low,logit_state,2085,226,0.21600364342803174,0.6184050802839095,0.09356331946018628,0.33877811199345903,0.10839328537170263,0.02741554735501268,0.6185934194142263,-0.5903741062012863,0.28708133971291866,2.648515899563874
eval_2024,2024,stock_liquidity,low,lgbm_price_liquidity,2085,226,0.20879939082593135,0.6249958346622744,0.09403723851708445,0.33407520724951284,0.10839328537170263,0.024118685330646844,0.6283593143152727,-0.6819813315723137,0.2822966507177033,2.6043739679044755
eval_2024,2024,stock_liquidity,low,lgbm_state,2085,226,0.22895757604428768,0.6418595019684197,0.09196509556854725,0.3256296510944624,0.10839328537170263,0.021429374095723982,0.8058397674082266,-0.3655928492978191,0.2966507177033493,2.7367997628826695
eval_2024,2024,stock_liquidity,middle,temporal_tabular,21339,1759,0.1874436761835084,0.673379107941008,0.07253677031239392,0.2689198367708237,0.0824312292047425,0.011861767308316288,0.9864587921678742,0.13899817805628056,0.20946579194001874,2.541097518026185
eval_2024,2024,stock_liquidity,middle,range_persistence,21339,1759,0.11477470586244273,0.5573785858921374,0.07855046842126154,0.29555677680962644,0.0824312292047425,0.042387158402762304,0.4065821995694658,-1.5870861308551432,0.14761012183692596,1.790706304649325
