bin,rows,predicted,observed,evaluation_year,model
7,5454,0.12703417295138342,0.13458012467913458,2025,logit_state
8,5454,0.16057181521755318,0.1696002933626696,2025,logit_state
9,5454,0.2780957617875411,0.25834250091675837,2025,logit_state
0,5454,0.05883204686933041,0.06453978731206454,2025,range_persistence
1,5454,0.06654162108934003,0.07499083241657499,2025,range_persistence
2,5454,0.07211002276484348,0.06784011734506784,2025,range_persistence
3,5453,0.0771507374142649,0.07958921694480103,2025,range_persistence
4,5454,0.08219820964260424,0.08195819581958196,2025,range_persistence
5,5455,0.08772554281395153,0.09624197983501374,2025,range_persistence
6,5452,0.09392346660062442,0.1078503301540719,2025,range_persistence
7,5454,0.10435264983545671,0.11899523285661899,2025,range_persistence
8,5454,0.12284342157314879,0.14154748808214154,2025,range_persistence
9,5454,0.20597507726208986,0.21727172717271728,2025,range_persistence
0,5454,0.028569924714573775,0.030803080308030802,2025,temporal_tabular
1,5454,0.04073787139148766,0.0462046204620462,2025,temporal_tabular
2,5454,0.04967402295111451,0.05958929226255959,2025,temporal_tabular
3,5453,0.058332254001028754,0.07518796992481203,2025,temporal_tabular
4,5454,0.06779477180640558,0.07242390905757243,2025,temporal_tabular
5,5454,0.07894271029754353,0.08360836083608361,2025,temporal_tabular
6,5453,0.09344688652798208,0.10691362552723271,2025,temporal_tabular
7,5454,0.11450213002164612,0.12321232123212321,2025,temporal_tabular
8,5454,0.15157456110150638,0.15493215988265494,2025,temporal_tabular
9,5454,0.27108279035959787,0.29794646131279795,2025,temporal_tabular
