evaluation_year,model,metric,bootstrap_mean,ci_lower,ci_upper,probability_above_zero,draws,point_estimate
2024,lgbm_state,brier,0.09722210834607768,0.08277526041196659,0.11357051793153425,1.0,2000,0.09744184894175914
2024,lgbm_state,log_loss,0.3358721440235287,0.29753593969133324,0.37952137445164497,1.0,2000,0.33647279335738733
2024,lgbm_state,calibration_gap,-0.0029763302059007857,-0.020429829582710397,0.013348328294457992,0.3715,2000,-0.0032655512065384723
2024,temporal_tabular,brier,0.0925179869187448,0.07925246755309284,0.10715219195555917,1.0,2000,0.09269987552824785
2024,temporal_tabular,log_loss,0.31905808619815457,0.28372223302787797,0.3576989285628832,1.0,2000,0.319569927418475
2024,temporal_tabular,calibration_gap,-0.01572062585022096,-0.026120896876849268,-0.006395415780830376,0.0,2000,-0.015855219894027398
2025,lgbm_state,brier,0.08929882059599956,0.07778886740876029,0.10168108787317112,1.0,2000,0.0893064049487404
2025,lgbm_state,log_loss,0.3164391503562051,0.28470531447568287,0.349835613844714,1.0,2000,0.3164760640671885
2025,lgbm_state,calibration_gap,-0.0022371350687952454,-0.015270253128568912,0.009809826804410775,0.3745,2000,-0.002292903799686663
2025,temporal_tabular,brier,0.08722311253486782,0.07583226386984926,0.09917394784363638,1.0,2000,0.08724571116323324
2025,temporal_tabular,log_loss,0.30872316634115643,0.2767973680799707,0.34212014041991096,1.0,2000,0.3088104285558324
2025,temporal_tabular,calibration_gap,-0.009539471729083282,-0.021853249653689864,0.001521558282856978,0.052,2000,-0.009616184424724172
