evaluation_year,alert_budget,metric,bootstrap_mean,ci_lower,ci_upper,probability_above_zero,draws
2024,0.01,precision_difference,0.052723059990151526,0.02073997370151215,0.08446774480184825,0.9995,2000
2024,0.01,recall_difference,0.005663760312731962,0.0020729470137913807,0.009479628788481341,0.9995,2000
2024,0.01,lift_difference,0.4550385630015985,0.16627575802775332,0.7633831273635671,0.9995,2000
2024,0.025,precision_difference,0.016755885332145944,-0.004611558981985166,0.03878488278940765,0.931,2000
2024,0.025,recall_difference,0.004123546587143499,-0.0010781778377131825,0.009784911900764625,0.931,2000
2024,0.025,lift_difference,0.14423455764892099,-0.03785647470799992,0.3411385279342906,0.931,2000
2024,0.05,precision_difference,0.026920124811660392,0.014188800802325761,0.0405777409118398,1.0,2000
2024,0.05,recall_difference,0.012358209903621941,0.006264370470435525,0.019226733910918264,1.0,2000
2024,0.05,lift_difference,0.23186972757228097,0.11753088491728714,0.36175705590926854,1.0,2000
2024,0.1,precision_difference,0.021486795866779394,0.012235554205160924,0.030604861686593265,1.0,2000
2024,0.1,recall_difference,0.01909468963114333,0.010563402618176716,0.02833365945771395,1.0,2000
2024,0.1,lift_difference,0.1858294345039445,0.10285873866527817,0.2759746283432286,1.0,2000
2024,0.2,precision_difference,0.019442993080826206,0.013828645281020398,0.025408204956781748,1.0,2000
2024,0.2,recall_difference,0.03353216664394242,0.024549992305552902,0.04325744448595621,1.0,2000
2024,0.2,lift_difference,0.1662699706005763,0.12172229092213048,0.21453305298084915,1.0,2000
2025,0.01,precision_difference,0.06279051379959581,0.02537030671309129,0.1006078407784639,0.999,2000
2025,0.01,recall_difference,0.007323578798962097,0.0028172081453432187,0.011731840477578649,0.999,2000
2025,0.01,lift_difference,0.5998583342676999,0.23077360704721947,0.9610793849360744,0.999,2000
2025,0.025,precision_difference,0.039302836148392695,0.020644828518541613,0.061147471106185514,1.0,2000
2025,0.025,recall_difference,0.010664140872547998,0.005579501506553153,0.01651937107129934,1.0,2000
2025,0.025,lift_difference,0.37622620812861135,0.19690626271400322,0.5814692918998983,1.0,2000
2025,0.05,precision_difference,0.03514538778433976,0.018682416493535012,0.053222220913593216,1.0,2000
2025,0.05,recall_difference,0.017710204587970728,0.009440237908434092,0.0265667760979916,1.0,2000
2025,0.05,lift_difference,0.33608549837770957,0.17892497527919532,0.5037165608411854,1.0,2000
2025,0.1,precision_difference,0.023971257649674692,0.013675504107066366,0.03470809757196196,1.0,2000
2025,0.1,recall_difference,0.02327298703263326,0.01354391984208056,0.03389517586230136,1.0,2000
2025,0.1,lift_difference,0.22886359658369151,0.13327873771227014,0.33371007836290134,1.0,2000
2025,0.2,precision_difference,0.012513657516851958,0.004876370627802075,0.019597254921140936,1.0,2000
2025,0.2,recall_difference,0.0240543605568622,0.009298816986915717,0.038071809855928014,1.0,2000
2025,0.2,lift_difference,0.11934613664794794,0.04611509822757842,0.18882586296214673,1.0,2000
