fold,seed,maximum_probability_replay_difference
eval_2024,17,8.940696716308594e-08
eval_2024,29,8.940696716308594e-08
eval_2024,43,8.940696716308594e-08
eval_2024,71,1.1920928955078125e-07
eval_2024,101,1.1920928955078125e-07
eval_2025,17,8.940696716308594e-08
eval_2025,29,8.940696716308594e-08
eval_2025,43,5.960464477539063e-08
eval_2025,71,5.960464477539063e-08
eval_2025,101,5.960464477539063e-08
