evaluation_year,ablation,ablation_type,pr_auc_drop_mean,pr_auc_drop_std,brier_increase_mean,probability_change_mean,probability_change_std
2024,abs_return_mean20,feature,0.0012614940129970554,0.0012335849444657957,0.00040970444679260253,0.012749403901398181,0.0020365748841044413
2024,abs_return_std20,feature,0.0029266663001114466,0.0013694795338263421,3.7039816379547116e-05,0.008306187111884356,0.0022965994788289204
2024,abs_vwap_return_t,feature,0.01606371290174905,0.0027130015908825755,0.001365320384502411,0.016791673563420772,0.0037672857609107532
2024,aggregate_broker_imbalance,feature,-0.001593627594215008,0.0013291046717369486,-0.0002688467502593994,0.005664140684530139,0.0014679182678939418
2024,aggregate_broker_imbalance_z20,feature,0.0015624575048376998,0.0005136328052089008,0.00020900517702102662,0.004457632405683398,0.0008560030709028208
2024,broker_count,feature,0.0015825015561869882,0.0035364009696389016,-0.00017285794019699096,0.011741952318698168,0.005650360959183298
2024,broker_count_z20,feature,0.0015067888433570875,0.0007006684698934944,0.0006262853741645813,0.008640268072485923,0.0026872039402272077
2024,broker_flow_entropy,feature,0.0010854045256894706,0.0015359364022402887,0.0002689525485038757,0.006617341190576553,0.002150549544084471
2024,buyer_hhi,feature,-0.00022458473823276924,0.0010837082893940865,7.774382829666138e-05,0.004525899654254317,0.0006746765872496677
2024,gross_flow_hhi,feature,0.0003667808373201464,0.0005122883979074271,-6.427615880966187e-05,0.006722071720287204,0.0030543754918220035
2024,gross_flow_hhi_z20,feature,0.0007905253792349631,0.0005007784418148945,6.475448608398438e-05,0.003784809447824955,0.0010976206355722718
2024,group_broker_state,group,0.0025395682572459943,0.0024196773930902247,0.0019763246178627013,0.026490210741758346,0.011246311038029906
2024,group_market_state,group,0.01407496758348924,0.002878967642946288,0.0009973600506782531,0.026129306852817537,0.003778370465656697
2024,group_price_liquidity,group,0.08435120590905323,0.0036172777591362143,0.00638233870267868,0.053452715277671814,0.011318655880725498
2024,illiquidity_t,feature,3.97674949212945e-06,0.0005297998417017643,1.50337815284729e-05,0.002843519835732877,0.0014097351157175613
2024,log_trade_count_t,feature,0.0005223995746859611,0.0012915948017545465,0.0001352369785308838,0.007963587529957294,0.002324455904250086
2024,log_turnover_t,feature,0.0034338173373664625,0.0030335116478290964,0.0006095990538597107,0.03319730870425701,0.004653794498105149
2024,log_volume_t,feature,0.0010793372145156855,0.0016240749063384493,0.000560690462589264,0.010479870811104774,0.0031084806586458057
2024,mkt_abs_return,feature,0.00555892017177676,0.0016472146509055507,0.0007895871996879578,0.009423812199383975,0.0014632650703736792
2024,mkt_log_trades,feature,0.004938846630420335,0.00981122821895187,0.00034125298261642454,0.02023780532181263,0.011198755022455702
2024,mkt_log_turnover,feature,0.0010901272768130243,0.0015228457160417653,0.00011627376079559326,0.021491836942732333,0.010115685354313274
2024,mkt_return,feature,0.021430106503879654,0.008415290258838082,0.0019278988242149354,0.020760749652981757,0.0024822981331127755
2024,range_mean20,feature,0.01949591367982505,0.006438850013978352,0.0021120980381965637,0.04537401348352432,0.008695774707419694
2024,range_std20,feature,0.0020355299641774847,0.0006288374149711784,0.0001718193292617798,0.008516841940581799,0.0019727127157127514
