evaluation_year,alert_budget,missed_event_cost,metric,bootstrap_mean,ci_lower,ci_upper,probability_above_zero,draws
2024,0.01,2.0,cost_reduction_difference,0.008495640469097943,0.003109420520687076,0.01421944318272202,0.9995,2000
2024,0.01,5.0,cost_reduction_difference,0.006796512375278354,0.0024875364165496587,0.011375554546177615,0.9995,2000
2024,0.01,10.0,cost_reduction_difference,0.006230136344005158,0.0022802417151705245,0.010427591667329483,0.9995,2000
2024,0.01,20.0,cost_reduction_difference,0.005946948328368559,0.002176594364480956,0.00995361022790541,0.9995,2000
2024,0.01,50.0,cost_reduction_difference,0.005777035518986601,0.002114405954067216,0.009669221364250972,0.9995,2000
2024,0.025,2.0,cost_reduction_difference,0.006185319880715249,-0.001617266756569784,0.014677367851146936,0.931,2000
2024,0.025,5.0,cost_reduction_difference,0.004948255904572198,-0.00129381340525583,0.011741894280917545,0.931,2000
2024,0.025,10.0,cost_reduction_difference,0.004535901245857849,-0.0011859956214845062,0.010763403090841098,0.931,2000
2024,0.025,20.0,cost_reduction_difference,0.004329723916500674,-0.001132086729598858,0.010274157495802854,0.931,2000
2024,0.025,50.0,cost_reduction_difference,0.00420601751888637,-0.0010997413944674583,0.00998061013877992,0.931,2000
2024,0.05,2.0,cost_reduction_difference,0.018537314855432915,0.009396555705653271,0.028840100866377418,1.0,2000
2024,0.05,5.0,cost_reduction_difference,0.014829851884346329,0.0075172445645226215,0.023072080693101925,1.0,2000
2024,0.05,10.0,cost_reduction_difference,0.013594030893984137,0.006890807517479067,0.021149407302010117,1.0,2000
2024,0.05,20.0,cost_reduction_difference,0.012976120398803038,0.0065775889939572955,0.020188070606464197,1.0,2000
2024,0.05,50.0,cost_reduction_difference,0.012605374101694381,0.006389657879844233,0.019611268589136626,1.0,2000
2024,0.1,2.0,cost_reduction_difference,0.028642034446714988,0.015845103927265073,0.04250048918657094,1.0,2000
2024,0.1,5.0,cost_reduction_difference,0.022913627557371995,0.01267608314181205,0.03400039134925674,1.0,2000
2024,0.1,10.0,cost_reduction_difference,0.02100415859425766,0.011619742879994363,0.03116702540348536,1.0,2000
2024,0.1,20.0,cost_reduction_difference,0.02004942411270049,0.011091572749085525,0.029750342430599642,1.0,2000
2024,0.1,50.0,cost_reduction_difference,0.019476583423766194,0.010774670670540238,0.028900332646868254,1.0,2000
2024,0.2,2.0,cost_reduction_difference,0.050298249965913644,0.03682498845832936,0.06488616672893431,1.0,2000
2024,0.2,5.0,cost_reduction_difference,0.0402385999727309,0.029459990766663478,0.05190893338314744,1.0,2000
2024,0.2,10.0,cost_reduction_difference,0.03688538330833666,0.027004991536108202,0.04758318893455182,1.0,2000
2024,0.2,20.0,cost_reduction_difference,0.03520877497613955,0.02577749192083055,0.04542031671025404,1.0,2000
2024,0.2,50.0,cost_reduction_difference,0.03420280997682126,0.02504099215166393,0.0441225933756753,1.0,2000
2025,0.01,2.0,cost_reduction_difference,0.010985368198443146,0.004225812218014825,0.017597760716367965,0.999,2000
2025,0.01,5.0,cost_reduction_difference,0.008788294558754517,0.0033806497744118583,0.014078208573094374,0.999,2000
2025,0.01,10.0,cost_reduction_difference,0.008055936678858306,0.0030989289598775385,0.012905024525336506,0.999,2000
2025,0.01,20.0,cost_reduction_difference,0.007689757738910202,0.0029580685526103766,0.012318432501457572,0.999,2000
2025,0.01,50.0,cost_reduction_difference,0.007470050374941339,0.0028735523082500766,0.011966477287130217,0.999,2000
2025,0.025,2.0,cost_reduction_difference,0.015996211308822,0.008369252259829723,0.024779056606949006,1.0,2000
2025,0.025,5.0,cost_reduction_difference,0.012796969047057597,0.006695401807863777,0.019823245285559205,1.0,2000
2025,0.025,10.0,cost_reduction_difference,0.011730554959802799,0.006137451657208462,0.018171308178429272,1.0,2000
2025,0.025,20.0,cost_reduction_difference,0.0111973479161754,0.005858476581880807,0.01734533962486431,1.0,2000
2025,0.025,50.0,cost_reduction_difference,0.010877423689998958,0.0056910915366842115,0.01684975849272532,1.0,2000
2025,0.05,2.0,cost_reduction_difference,0.0265653068819561,0.01416035686265115,0.0398501641469874,1.0,2000
2025,0.05,5.0,cost_reduction_difference,0.021252245505564874,0.011328285490120927,0.031880131317589926,1.0,2000
2025,0.05,10.0,cost_reduction_difference,0.019481225046767803,0.01038426169927751,0.02922345370779076,1.0,2000
2025,0.05,20.0,cost_reduction_difference,0.018595714817369265,0.009912249803855813,0.027895114902891188,1.0,2000
2025,0.05,50.0,cost_reduction_difference,0.018064408679730148,0.00962904266660278,0.027098111619951428,1.0,2000
2025,0.1,2.0,cost_reduction_difference,0.034909480548949885,0.020315879763120825,0.050842763793452074,1.0,2000
2025,0.1,5.0,cost_reduction_difference,0.027927584439159915,0.016252703810496667,0.04067421103476165,1.0,2000
2025,0.1,10.0,cost_reduction_difference,0.025600285735896584,0.014898311826288603,0.037284693448531525,1.0,2000
2025,0.1,20.0,cost_reduction_difference,0.024436636384264923,0.014221115834184594,0.035589934655416426,1.0,2000
2025,0.1,50.0,cost_reduction_difference,0.023738446773285925,0.013814798238922173,0.03457307937954742,1.0,2000
2025,0.2,2.0,cost_reduction_difference,0.036081540835293295,0.013948225480373683,0.05710771478389211,1.0,2000
2025,0.2,5.0,cost_reduction_difference,0.028865232668234646,0.011158580384298893,0.04568617182711361,1.0,2000
2025,0.2,10.0,cost_reduction_difference,0.026459796612548422,0.010228698685607317,0.0418789908415208,1.0,2000
2025,0.2,20.0,cost_reduction_difference,0.02525707858470531,0.009763757836261558,0.03997540034872444,1.0,2000
2025,0.2,50.0,cost_reduction_difference,0.024535447767999447,0.009484793326654088,0.038833246053046576,1.0,2000
