evaluation_year,model,alpha,metric,bootstrap_mean,ci_lower,ci_upper,probability_above_zero,draws,nominal_coverage,conformal_quantile,point_estimate
2024,lgbm_state,0.05,coverage,0.9492034082455861,0.9418721135280947,0.9558767216138396,1.0,2000,0.95,0.8875797338709001,0.9490246733310869
2024,lgbm_state,0.05,average_set_size,1.3205226353985333,1.2730880879087343,1.3712708978285846,1.0,2000,0.95,0.8875797338709001,1.3204724999063986
2024,lgbm_state,0.05,singleton_rate,0.6794773646014668,0.6287291021714153,0.7269119120912658,1.0,2000,0.95,0.8875797338709001,0.6795275000936014
2024,lgbm_state,0.05,empty_rate,0.0,0.0,0.0,0.0,2000,0.95,0.8875797338709001,0.0
2024,lgbm_state,0.1,coverage,0.9096560162957453,0.8942737646683186,0.9238029906375266,1.0,2000,0.9,0.778017210231214,0.9093751170017597
2024,lgbm_state,0.1,average_set_size,1.081603821520288,1.0591393411506673,1.1074005249467942,1.0,2000,0.9,0.778017210231214,1.0815081058819125
2024,lgbm_state,0.1,singleton_rate,0.918396178479712,0.8925994750532058,0.9408606588493326,1.0,2000,0.9,0.778017210231214,0.9184918941180875
2024,lgbm_state,0.1,empty_rate,0.0,0.0,0.0,0.0,2000,0.9,0.778017210231214,0.0
2024,temporal_tabular,0.05,coverage,0.9503418820320434,0.9434883986388073,0.9563352315707256,1.0,2000,0.95,0.8882562816143036,0.9502789321951403
2024,temporal_tabular,0.05,average_set_size,1.2628856121994043,1.195327679366483,1.3360313058159083,1.0,2000,0.95,0.8882562816143036,1.2634505222958554
2024,temporal_tabular,0.05,singleton_rate,0.7371143878005958,0.6639686941840915,0.804672320633517,1.0,2000,0.95,0.8882562816143036,0.7365494777041447
2024,temporal_tabular,0.05,empty_rate,0.0,0.0,0.0,0.0,2000,0.95,0.8882562816143036,0.0
2024,temporal_tabular,0.1,coverage,0.9063271923134048,0.8932995117824558,0.9185885354269145,1.0,2000,0.9,0.7026084005832672,0.9061552285746378
2024,temporal_tabular,0.1,average_set_size,1.0511689540555826,1.0259410221906513,1.0830754499875495,1.0,2000,0.9,0.7026084005832672,1.0513497322999739
2024,temporal_tabular,0.1,singleton_rate,0.9488310459444176,0.9169245500124507,0.9740589778093486,1.0,2000,0.9,0.7026084005832672,0.9486502677000263
2024,temporal_tabular,0.1,empty_rate,0.0,0.0,0.0,0.0,2000,0.9,0.7026084005832672,0.0
2025,lgbm_state,0.05,coverage,0.9509800706905275,0.9439726252919763,0.9577469569819125,1.0,2000,0.95,0.8904008073294132,0.9508782866991822
2025,lgbm_state,0.05,average_set_size,1.310857547347872,1.2649430618458521,1.3638312237840433,1.0,2000,0.95,0.8904008073294132,1.310315743151564
2025,lgbm_state,0.05,singleton_rate,0.6891424526521281,0.6361687762159566,0.7350569381541479,1.0,2000,0.95,0.8904008073294132,0.6896842568484359
2025,lgbm_state,0.05,empty_rate,0.0,0.0,0.0,0.0,2000,0.95,0.8904008073294132,0.0
2025,lgbm_state,0.1,coverage,0.9133515502926872,0.9004820581561999,0.9254217401297896,1.0,2000,0.9,0.7835293421943584,0.9132898162748909
2025,lgbm_state,0.1,average_set_size,1.0631983324128391,1.0447886527526138,1.0853666786170926,1.0,2000,0.9,0.7835293421943584,1.0629469360812644
2025,lgbm_state,0.1,singleton_rate,0.936801667587161,0.9146333213829075,0.9552113472473863,1.0,2000,0.9,0.7835293421943584,0.9370530639187356
2025,lgbm_state,0.1,empty_rate,0.0,0.0,0.0,0.0,2000,0.9,0.7835293421943584,0.0
2025,temporal_tabular,0.05,coverage,0.9383943822911269,0.9292579348278064,0.9469825605526014,1.0,2000,0.95,0.8658670082688331,0.9382815651472368
2025,temporal_tabular,0.05,average_set_size,1.1863442420357646,1.1376955338351549,1.2397680933788338,1.0,2000,0.95,0.8658670082688331,1.185888738127544
2025,temporal_tabular,0.05,singleton_rate,0.8136557579642355,0.7602319066211664,0.862304466164845,1.0,2000,0.95,0.8658670082688331,0.8141112618724559
2025,temporal_tabular,0.05,empty_rate,0.0,0.0,0.0,0.0,2000,0.95,0.8658670082688331,0.0
2025,temporal_tabular,0.1,coverage,0.9016943713368327,0.8869481206091367,0.9155213779433881,1.0,2000,0.9,0.6221977412700653,0.9016465583629762
2025,temporal_tabular,0.1,average_set_size,1.010920634767888,1.0039146697235832,1.0203140470158563,1.0,2000,0.9,0.6221977412700653,1.0108181451465033
2025,temporal_tabular,0.1,singleton_rate,0.9890793652321119,0.9796859529841438,0.9960853302764168,1.0,2000,0.9,0.6221977412700653,0.9891818548534966
2025,temporal_tabular,0.1,empty_rate,0.0,0.0,0.0,0.0,2000,0.9,0.6221977412700653,0.0
